entry_ID,dustbin_id,location,filled_capacity,date,time,day_of_week
1,1,Thane,5,2023-07-01,8:00,Saturday
2,1,Thane,6,2023-07-01,9:00,Saturday
3,1,Thane,7,2023-07-01,10:00,Saturday
4,1,Thane,9,2023-07-01,11:00,Saturday
5,1,Thane,8,2023-07-01,12:00,Saturday
6,1,Thane,8,2023-07-01,13:00,Saturday
7,1,Thane,8,2023-07-01,14:00,Saturday
8,1,Thane,8,2023-07-01,15:00,Saturday
9,1,Thane,7,2023-07-01,16:00,Saturday
10,1,Thane,9,2023-07-01,17:00,Saturday
11,1,Thane,9,2023-07-01,18:00,Saturday
12,1,Thane,9,2023-07-01,19:00,Saturday
13,2,Malad East,3,2023-07-01,8:00,Saturday
14,2,Malad East,6,2023-07-01,9:00,Saturday
15,2,Malad East,8,2023-07-01,10:00,Saturday
16,2,Malad East,9,2023-07-01,11:00,Saturday
17,2,Malad East,10,2023-07-01,12:00,Saturday
18,2,Malad East,10,2023-07-01,13:00,Saturday
19,2,Malad East,10,2023-07-01,14:00,Saturday
20,2,Malad East,10,2023-07-01,15:00,Saturday
21,2,Malad East,10,2023-07-01,16:00,Saturday
22,2,Malad East,10,2023-07-01,17:00,Saturday
23,2,Malad East,10,2023-07-01,18:00,Saturday
24,2,Malad East,10,2023-07-01,19:00,Saturday
25,3,Kandivali,5,2023-07-01,8:00,Saturday
26,3,Kandivali,6,2023-07-01,9:00,Saturday
27,3,Kandivali,8,2023-07-01,10:00,Saturday
28,3,Kandivali,10,2023-07-01,11:00,Saturday
29,3,Kandivali,10,2023-07-01,12:00,Saturday
30,3,Kandivali,7,2023-07-01,13:00,Saturday
31,3,Kandivali,9,2023-07-01,14:00,Saturday
32,3,Kandivali,8,2023-07-01,15:00,Saturday
33,3,Kandivali,7,2023-07-01,16:00,Saturday
34,3,Kandivali,8,2023-07-01,17:00,Saturday
35,3,Kandivali,8,2023-07-01,18:00,Saturday
36,3,Kandivali,9,2023-07-01,19:00,Saturday
37,4,Goregaon East,4,2023-07-01,8:00,Saturday
38,4,Goregaon East,6,2023-07-01,9:00,Saturday
39,4,Goregaon East,8,2023-07-01,10:00,Saturday
40,4,Goregaon East,10,2023-07-01,11:00,Saturday
41,4,Goregaon East,10,2023-07-01,12:00,Saturday
42,4,Goregaon East,10,2023-07-01,13:00,Saturday
43,4,Goregaon East,10,2023-07-01,14:00,Saturday
44,4,Goregaon East,10,2023-07-01,15:00,Saturday
45,4,Goregaon East,10,2023-07-01,16:00,Saturday
